word,mean,target,answer,romaji,type,wordReading,wordRomaji,parts,sentence,sentenceReading,sentenceMeaning,id
音楽,âm nhạc,音,おん,on,on,おんがく,ongaku,音~おん~on~âm thanh~target|楽~がく~gaku~nhạc~support,ことば「音楽」を よみます。,ことば「おんがく」を よみます。,Tôi đọc từ “âm nhạc”.,v1:%E9%9F%B3:%E9%9F%B3%E6%A5%BD:on:%E3%81%8A%E3%82%93
足音,tiếng bước chân,音,おと,oto,kun,あしおと,ashioto,足~あし~ashi~chân~support|音~おと~oto~âm thanh~target,ことば「足音」を よみます。,ことば「あしおと」を よみます。,Tôi đọc từ “tiếng bước chân”.,v1:%E9%9F%B3:%E8%B6%B3%E9%9F%B3:kun:%E3%81%8A%E3%81%A8
毎日,mỗi ngày,日,にち,nichi,on,まいにち,mainichi,毎~まい~mai~mỗi~support|日~にち~nichi~ngày~target,ことば「毎日」を よみます。,ことば「まいにち」を よみます。,Tôi đọc từ “mỗi ngày”.,v1:%E6%97%A5:%E6%AF%8E%E6%97%A5:on:%E3%81%AB%E3%81%A1
日曜日,Chủ Nhật,日,にち,nichi,on,にちようび,nichiyoubi,日~にち~nichi~ngày~target|曜~よう~you~thứ~support|日~び~bi~ngày~support,ことば「日曜日」を よみます。,ことば「にちようび」を よみます。,Tôi đọc từ “Chủ Nhật”.,v1:%E6%97%A5:%E6%97%A5%E6%9B%9C%E6%97%A5:on:%E3%81%AB%E3%81%A1
日,ngày / mặt trời,日,ひ,hi,kun,ひ,hi,日~ひ~hi~ngày / mặt trời~target,ことば「日」を よみます。,ことば「ひ」を よみます。,Tôi đọc từ “ngày / mặt trời”.,v1:%E6%97%A5:%E6%97%A5:kun:%E3%81%B2
一月,tháng Một,一,いち,ichi,on,いちがつ,ichigatsu,一~いち~ichi~một~target|月~がつ~gatsu~tháng~support,ことば「一月」を よみます。,ことば「いちがつ」を よみます。,Tôi đọc từ “tháng Một”.,v1:%E4%B8%80:%E4%B8%80%E6%9C%88:on:%E3%81%84%E3%81%A1
一年,một năm,一,いち,ichi,on,いちねん,ichinen,一~いち~ichi~một~target|年~ねん~nen~năm~support,ことば「一年」を よみます。,ことば「いちねん」を よみます。,Tôi đọc từ “một năm”.,v1:%E4%B8%80:%E4%B8%80%E5%B9%B4:on:%E3%81%84%E3%81%A1
一つ,một cái,一,ひと,hito,kun,ひとつ,hitotsu,一~ひと~hito~một~target|つ~つ~tsu~trợ từ đếm~kana,ことば「一つ」を よみます。,ことば「ひとつ」を よみます。,Tôi đọc từ “một cái”.,v1:%E4%B8%80:%E4%B8%80%E3%81%A4:kun:%E3%81%B2%E3%81%A8
国語,quốc ngữ (môn Văn),国,こく,koku,on,こくご,kokugo,国~こく~koku~quốc gia~target|語~ご~go~ngôn ngữ~support,ことば「国語」を よみます。,ことば「こくご」を よみます。,Tôi đọc từ “quốc ngữ (môn Văn)”.,v1:%E5%9B%BD:%E5%9B%BD%E8%AA%9E:on:%E3%81%93%E3%81%8F
外国,nước ngoài,国,こく,koku,on,がいこく,gaikoku,外~がい~gai~ngoài~support|国~こく~koku~quốc gia~target,ことば「外国」を よみます。,ことば「がいこく」を よみます。,Tôi đọc từ “nước ngoài”.,v1:%E5%9B%BD:%E5%A4%96%E5%9B%BD:on:%E3%81%93%E3%81%8F
